Time: 14:17:50.041 | Pos: (147,79, 288,22) | Vel: (4,19, 5,67)
Time: 14:17:50.041 | Pos: (375,76, 307,26) | Vel: (0,95, 0,88)
Time: 14:17:50.041 | Pos: (6,78, 78,82) | Vel: (2,73, -2,94)
Time: 14:17:50.041 | Pos: (196,01, 346,04) | Vel: (-0,52, 1,19)
Time: 14:17:50.041 | Pos: (147,79, 288,22) | Vel: (4,19, 5,67)
Time: 14:17:50.041 | Pos: (375,76, 307,26) | Vel: (0,95, 0,88)
Time: 14:17:50.041 | Pos: (6,78, 78,82) | Vel: (2,73, -2,94)
Time: 14:17:50.041 | Pos: (196,01, 346,04) | Vel: (-0,52, 1,19)
Time: 14:17:50.041 | Pos: (147,79, 288,22) | Vel: (4,19, 5,67)
Time: 14:17:50.041 | Pos: (375,76, 307,26) | Vel: (0,95, 0,88)
Time: 14:17:50.041 | Pos: (6,78, 78,82) | Vel: (2,73, -2,94)
Time: 14:17:50.041 | Pos: (196,01, 346,04) | Vel: (-0,52, 1,19)
Time: 14:17:50.041 | Pos: (147,79, 288,22) | Vel: (4,19, 5,67)
Time: 14:17:50.141 | Pos: (374,82, 316,95) | Vel: (-0,95, 0,88)
Time: 14:17:50.141 | Pos: (36,85, 46,51) | Vel: (2,73, -2,94)
Time: 14:17:50.141 | Pos: (197,18, 376,74) | Vel: (1,62, 6,67)
Time: 14:17:50.141 | Pos: (189,13, 338,46) | Vel: (2,05, 0,19)
Time: 14:17:50.141 | Pos: (374,82, 316,95) | Vel: (-0,95, 0,88)
Time: 14:17:50.141 | Pos: (36,85, 46,51) | Vel: (2,73, -2,94)
Time: 14:17:50.141 | Pos: (197,18, 376,74) | Vel: (1,62, 6,67)
Time: 14:17:50.141 | Pos: (189,13, 338,46) | Vel: (2,05, 0,19)
Time: 14:17:50.141 | Pos: (374,82, 316,95) | Vel: (-0,95, 0,88)
Time: 14:17:50.141 | Pos: (36,85, 46,51) | Vel: (2,73, -2,94)
Time: 14:17:50.141 | Pos: (197,18, 376,74) | Vel: (1,62, 6,67)
Time: 14:17:50.141 | Pos: (189,13, 338,46) | Vel: (2,05, 0,19)
Time: 14:17:50.141 | Pos: (374,82, 316,95) | Vel: (-0,95, 0,88)
Time: 14:17:50.141 | Pos: (36,85, 46,51) | Vel: (2,73, -2,94)
Time: 14:17:50.141 | Pos: (197,18, 376,74) | Vel: (1,62, 6,67)
Time: 14:17:50.141 | Pos: (189,13, 338,46) | Vel: (2,05, 0,19)
Time: 14:17:50.141 | Pos: (374,82, 316,95) | Vel: (-0,95, 0,88)
Time: 14:17:50.141 | Pos: (36,85, 46,51) | Vel: (2,73, -2,94)
Time: 14:17:50.141 | Pos: (197,18, 376,74) | Vel: (1,62, 6,67)
Time: 14:17:50.141 | Pos: (189,13, 338,46) | Vel: (2,05, 0,19)
Time: 14:17:50.241 | Pos: (364,38, 326,64) | Vel: (-0,95, 0,88)
Time: 14:17:50.242 | Pos: (66,92, 14,19) | Vel: (2,73, -2,94)
Time: 14:17:50.242 | Pos: (231,16, 352,06) | Vel: (4,28, -0,83)
Time: 14:17:50.242 | Pos: (192,86, 299,28) | Vel: (-0,61, -5,65)
Time: 14:17:50.242 | Pos: (364,38, 326,64) | Vel: (-0,95, 0,88)
Time: 14:17:50.242 | Pos: (66,92, 14,19) | Vel: (2,73, -2,94)
Time: 14:17:50.242 | Pos: (231,16, 352,06) | Vel: (4,28, -0,83)
Time: 14:17:50.242 | Pos: (192,86, 299,28) | Vel: (-0,61, -5,65)
Time: 14:17:50.242 | Pos: (364,38, 326,64) | Vel: (-0,95, 0,88)
Time: 14:17:50.242 | Pos: (66,92, 14,19) | Vel: (2,73, -2,94)
Time: 14:17:50.242 | Pos: (231,16, 352,06) | Vel: (4,28, -0,83)
Time: 14:17:50.242 | Pos: (192,86, 299,28) | Vel: (-0,61, -5,65)
Time: 14:17:50.242 | Pos: (364,38, 326,64) | Vel: (-0,95, 0,88)
Time: 14:17:50.242 | Pos: (66,92, 14,19) | Vel: (2,73, -2,94)
Time: 14:17:50.242 | Pos: (231,16, 352,06) | Vel: (4,28, -0,83)
Time: 14:17:50.242 | Pos: (192,86, 299,28) | Vel: (-0,61, -5,65)
Time: 14:17:50.242 | Pos: (364,38, 326,64) | Vel: (-0,95, 0,88)
Time: 14:17:50.242 | Pos: (66,92, 14,19) | Vel: (2,73, -2,94)
Time: 14:17:50.242 | Pos: (231,16, 352,06) | Vel: (4,28, -0,83)
Time: 14:17:50.242 | Pos: (192,86, 299,28) | Vel: (-0,61, -5,65)
Time: 14:17:50.342 | Pos: (353,95, 336,33) | Vel: (-0,95, 0,88)
Time: 14:17:50.342 | Pos: (96,99, 23,01) | Vel: (2,73, 2,94)
